"course_code","course_name","description","level"
"ART 179S, 379S","Advanced Topics in Studio Art: Lecture.","Restricted to studio art and art education majors. Intensive advanced study of various disciplines of studio art. For each semester hour of credit earned, the equivalent of one lecture hour a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Upper-division standing; Studio Art 311C , 312C , 313C , and 314C (or Studio Art 301C and 302C ) with a grade of at least C in each; and twelve additional semester hours of coursework in studio art with a grade of at least C in each course.","Upper-Division Courses"
"ART 279T, 379T","Advanced Topics in Studio Art: Laboratory.","Restricted to studio art and art education majors. Intensive advanced study of various disciplines of studio art. The equivalent of three or six laboratory hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Upper-division standing; Studio Art 311C , 312C , 313C , and 314C (or Studio Art 301C and 302C ) with a grade of at least C in each; and twelve additional semester hours of coursework in studio art with a grade of at least C in each course.","Upper-Division Courses"
"ART 380, 480","Group Critique in Studio Art.","Group critiques of student artwork organized under the leadership of the instructor, in addition to regular individual studio visits between the instructor and each student. For each semester hour of credit earned, one lecture hour a week for one semester with additional laboratory hours to be arranged.  May be repeated for credit. Prerequisite: Graduate standing in studio art and consent of the graduate adviser.","Graduate Courses"
"ART 181, 281, 381, 481, 581, 681, 781","Graduate Committee Study.","Studio hours to be arranged.  May be repeated for credit. Prerequisite: Graduate standing in studio art and consent of instructor and the graduate adviser.","Graduate Courses"
"ART 382","Seminar in Studio Art.","Addresses topics and issues in contemporary art. Uses lectures, readings, guest presentations, discussions, and writings to articulate and define contemporary art practices. Three lecture hours a week for one semester.  May be repeated for credit. Prerequisite: Graduate standing in studio art and consent of the graduate adviser.","Graduate Courses"
"ART 482T","Topics Seminar in Studio Art.","Topics and issues in contemporary art. Lectures, readings, guest presentations, discussions, and writings provide an opportunity for students to discuss the production and reception of culture. Four lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing in studio art and consent of the graduate adviser.","Graduate Courses"
"ART 383, 483","Graduate Independent Study Outside Student's Concentration.","Studio hours to be arranged.  May be repeated for credit. Prerequisite: Graduate standing and consent of instructor and the graduate adviser.","Graduate Courses"
"ART 384F, 484F","Master of Fine Arts First-Year Seminar.","Restricted to first-semester graduate students in studio art. Introduction to the extensive research assets of the University. Focus on critical assessment skills and developing effective and consistent habits for working in the studio. For each semester hour of credit earned, one lecture hour a week for one semester. Prerequisite: Graduate standing in studio art and consent of the graduate adviser.","Graduate Courses"
"ART 384S","Master of Fine Arts Assembly.","Restricted to second-semester graduate students in studio art. Continuation of Studio Art 384F . Focuses on critiquing skills, talking and writing about artwork, and defining effective studio practices. Students work with peers and faculty from across the studio disciplines. Three lecture hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Graduate standing and Studio Art 384F with a grade of at least B.","Graduate Courses"
"ART 390","Advanced Issues in Studio Art.","Restricted to studio art majors. Intensive advanced study of various disciplines of studio art.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing, consent of graduate adviser, and consent of instructor.","Graduate Courses"
"ART 490T","Advanced Issues in Studio Art.","Restricted to graduate students in design or studio art. Intensive advanced study of various disciplines of studio art. The equivalent of two lecture hours a week and four laboratory hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing, consent of graduate adviser, and consent of instructor.","Graduate Courses"
"ART 398P, 498P","Professional Practices for Fine Artists.","Restricted to second-year studio art graduate students. Study of effective strategies for entering various aspects of the art world. Experiences may include lectures, guest specialists, field trips, and readings. For each semester hour of credit earned, one lecture hour a week for one semester. Prerequisite: Graduate standing in studio art and consent of instructor and the graduate adviser.","Graduate Courses"
"ART 398R","Master's Portfolio Report.","Written interpretation of the artwork created in the graduate program, addressing influences on and concepts of the work, and including a digital portfolio of major works and influences. The equivalent of three lecture hours a week for one semester.  Offered on the credit/no credit basis only. Prerequisite: Graduate standing in studio art, concurrent enrollment in Studio Art 398S , and consent of the graduate adviser.","Graduate Courses"
