"course_title","code","subject","description"
"Mediation Skills Intensive","LAW 801","LAW - Law","The Mediation Skills is an intensive, two-week skills training experiential course. This course will introduce students to core skills in mediation practice, mediation techniques, and mediation ethics while engaging students in discrete skills exercises and simulated role plays. This course has several goals: 1) to give students the skills to be effective mediators; 2) to give students a theoretical and practical foundation to be good advocates for their clients in mediation; 3) to give students adequate practice to hone their mediation skills; 4) to help students see the benefits and limitations of mediation and other dispute resolution techniques so that they can responsibly counsel clients about their choices; and, 5) to help students understand the difference between the professional standards of practice and ethics for attorneys and mediators. Students taking the Mediation Skills Intensive will receive two (2) ungraded credits. First priority for enrollment is given to students accepted into the Mediation and Negotiation Workshop. Additional students may enroll with special permission of the professor based on available space."
"Legal Analytics","LAW 803","LAW - Law","Legal analytics is the systematic computational analysis of legal data or statistics. This class teaches students how to use mathematical, statistical, and data analytical approaches to analyzing sources of law such as judicial decisions, briefs, motions, statutes, rules and regulations, legal commentary (e.g., law review articles, treatises), and the vast amounts of data generated by legal institutions (e.g., HHS, USPTO, IRS, SEC, EPA, USDA, FBI). Students will learn how to identify sources of legal data, assemble legal data into usable forms (e.g., database), clean and measure legal data, analyze legal data (e.g., using statistical tests, crowd-sourcing, artificial intelligence, network analysis), interpret results of legal data analysis, and present results of legal data analysis to different audiences (e.g., juries, judges, attorneys, regulators, investors, politicians, the public). The class will include problem sets designed to ensure student mastery of all methods covered. In addition, students will learn how to use powerful legal analytics software tools - access to which will be provided free by commercial vendors for student use - capable of discovering, analyzing, interpreting, communicating, and visualizing legal data. Upon completion of this class, students will possess experience and expertise in all major legal analytics methods."
"Civil Procedure","LAW 804","LAW - Law","This course will examine all phases of the litigation process in civil actions.  Specific subjects covered may include:  pleadings; discovery; disposition of cases without trial; the right to jury trial; post-trial motions; appeals; the bases for jurisdiction over persons and property; notice; venue; subject matter jurisdiction; choice of federal or state law in diversity cases; joinder of claims and parties; and preclusive effects of judgments.  Required course."
"Mass Incarceration","LAW 805","LAW - Law","Approximately 2.2 million adults are incarcerated the United States. More are on some type of penal supervision.  This population is the largest penal population in the world.  The National Academy of Science has concluded that ""[t]he growth in incarceration rates in the United States over thepast 40years is historically unprecedented and internationally unique. This seminar will explore how the United States got here, what the consequences of mass incarnation are, and how should we respond to and remedy this ""historically unprecedented"" level of incarceration."
"Introduction to Constitutional Law","LAW 806","LAW - Law","An introduction to the law of the United States Constitution, including the historical context and evolution of constitutional principles, methods of constitutional interpretation and analysis, and basic doctrine concerning the structure of government and the protection of individual rights.  Doctrinal coverage includes separation of powers, federalism, equal protection, due process, and freedom of religion.  Required course."
"Appellate Advocacy","LAW 807","LAW - Law","This course teaches appellate writing and oral advocacy skills.  Students will study leading brief-writing and oral-advocacy texts.  Students will engage in numerous in-class exercises that advance their writing and presentation abilities.  Students will argue two or more moot court cases, where they will be required to draft briefs and present oral arguments."
"Contracts","LAW 809","LAW - Law","An introduction to contract law, including topics such as offer and acceptance, consideration, contracts enforceable without consideration, defenses to enforcement of contracts, terms of contracts and their interpretation, performance and breach of contracts, remedies for breach, third-party beneficiaries, and assignments.  Required course."
"Counterintelligence","LAW 810","LAW - Law","This Homeland Security course will be a study of how the United States Intelligence Community applies Counterintelligence techniques and concepts to foreign and domestic threats.  There will be an examination of how the USIC has evolved from World War Two throughout the Cold War, to the Global War on Terrorism and up to and including present-day threat issues such as Economic Espionage and Theft of Trade Secrets.   The course will examine key USIC agencies and how they operate and a study of Counterintelligence theory and concepts.  There will be a case study of a CI case prosecuted in the United States, District of Kansas, regarding a state sponsored attempt at Theft of Trade Secrets.   This will include an examination of how the laws of the U.S. were applied in a CI investigation.  Prerequisite:  Permission required from the Director of Homeland Security: Law and Policy."
"Cyber Law","LAW 811","LAW - Law","This Homeland Security course considers the interaction between networked information systems and security-related law. We will examine substantive areas of the law which bear directly on information technology (particularly, e.g., criminal law, criminal procedure, data privacy, network security, national security, homeland security, and international law), as well as ways in which information technology is itself shaping and transforming the security and privacy landscape.  Prerequisite:  Permission required from the Director of Homeland Security: Law and Policy."
"Terrorism Finance","LAW 812","LAW - Law","This Homeland Security course will cover Federal Laws and Regulations, and Executive Orders, relevant to addressing  international terrorism and specifically terrorism finance issues. These laws and regulations are also addressed in two case studies that will be covered during the course that demonstrate how the U.S. Government and the USIC investigated and charged defendants in terrorism finance cases.  Prerequisite:  Permission required from the Director of Homeland Security: Law and Policy Program."
"Cyber Policy and Strategy","LAW 813","LAW - Law","This Homeland Security course examines the strategy, policies, and politics of cyber security, including the necessary knowledge and frameworks to understand the context, theory, and application of cyber capabilities as an element of national power. It covers the national security implications of cyber—including how the low cost of entry, the limited chance of attribution, and the ubiquity of the domain create unique defense challenges. Discusses the international and domestic politics of cyber security—including how American values, culture, organizations, and laws will determine roles and responsibilities for government and the private sector. Evaluates the international considerations of cyber security—including the applicability of deterrence, sovereignty, collective security, institutions, and treaties in cyberspace. Included are considerations of emerging cyber technologies, such as artificial intelligence and quantum computing. Students will be able to form creative solutions to complex problems with an emphasis on operational and strategic planning and teamwork.  Prerequisite:  Permission required from the Director of Homeland Security: Law and Policy Program."
"Criminal Law","LAW 814","LAW - Law","An introduction to substantive criminal law, including theories of punishment, basic stages of the criminal process, culpability, defenses, parties to crime, conspiracy, attempts, sentencing, homicide, and other selected offenses.  Required course."
"International Aspects of Homeland Security","LAW 815","LAW - Law","This Homeland Security course students will read and discuss materials that provide a basic introduction to the legal, governmental, and policy issues that confront those with responsibility for ensuring the safety of American interests abroad and in the American homeland from both human caused and naturally occurring problems originating abroad. In the class, we will read and discuss materials dealing with the legal, governmental, and policy aspects of this subject such as treaties, international organizations, customary international law, the law of armed conflict, and other relevant materials. We will discuss such problems as internationally originated cyber-attacks, international environmental problems and disasters, epidemics and quarantine laws, etc. Students will be required to take both a midterm and a final examination.  Prerequisite:  Permission required from the Director of Homeland Security: Law and Policy Program."
"Domestic Aspects of Homeland Security","LAW 816","LAW - Law","This Homeland Security course students will read and discuss materials that provide a basic introduction to the legal, governmental, and policy issues that confront those with responsibility for ensuring the safety of the American homeland. We will be covering American statutes, case law, Presidential executive orders, and other legal sources that regulate issues such as cyber-security, management of natural disasters, failures in utility networks and other vital domestic infrastructure, etc. Students will be required to take both a midterm and final examination.  Prerequisite:  Permission required from the Director of Homeland Security: Law and Policy Program."
"Homeland Security Practicum","LAW 817","LAW - Law","This course will be taught during the full academic year. The class is divided into three parts: Fall: One credit hour in which students will read materials on a specific potential threat to homeland security. Students will be expected to discuss the reading materials at each class meeting and will prepare a short memorandum at the end of the first semester on their reading. Spring: Two credit hour part in which students will divide into teams that will work together for the rest of the academic year. Each team will be expected to create a long-term strategy both to mitigate potential dangers from the threat assigned for the year and to formulate a short-term action plan to be utilized in the event that the threat materializes. Students will be evaluated on the long-term and short-term planning documents they prepare. Final Simulation: Final three credit hour part consists of a five day intensive real time simulation in which each team will be required to deal with an emerging threat as though they were, in fact, an emergency management team dealing with a real threat. Each team will be monitored by a real world professional emergency manager. The actual simulation will last for two full days. A second two day period will consist of analysis and evaluation of each team's actions by the monitors and the simulation leaders. The final day will be for each individual to prepare a comprehensive analysis of her actions and the actions of her team with suggestions for improvement."
"Domestic Terrorism","LAW 818","LAW - Law","This Homeland Security course will study the historical development behind ideologies of violent extremist domestic terror groups and how certain ideologies have evolved over the last approximately 50 years.  There will be discussions of how the United States government and U. S. Law Enforcement have attempted to address the issues surrounding investigating and prosecuting Domestic Terror groups, including an analysis of key Federal statutes that have been utilized to prosecute these types of cases and examination of specific domestic terror events.  Prerequisite:  Permission required from the Director of Homeland Security: Law and Policy Program."
"Lawyering Skills I","LAW 820","LAW - Law","This course introduces students to legal systems and the skills of lawyers.  It includes instruction and discussion on legal traditions, legal institutions and legal methods.  It focuses on developing students' skills in legal reasoning, writing and research.  Students will complete numerous research and writing assignments, culminating in an open memorandum.  Required course."
"Lawyering Skills II","LAW 821","LAW - Law","In this course, students build on the research and writing skills they developed in the first semester and practice additional skills such as client interviewing, negotiation and mediation.  Students learn about the expectations and demands of lawyers and the legal profession through instruction on bar admission, professionalism, and ethical advocacy, and by working on assignments in a simulated lawsuit.  Student work culminates in an advocacy brief and subsequent oral argument.  Required course.  Prerequisite:LAW 820."
"Global Challenges in Law, Agriculture, Development, and Ecology","LAW 824","LAW - Law","This course aims to complement the more foundational courses in public international law, international business law, and comparative law by examining a cluster of particularly important ""global challenges.""  These involve (i) the rule (and role) of law in international relations, (ii) the economic, environmental, and social aspects of modern agriculture, (iii) the quest and prospects for human development, and (iv) the existential threats posed to the ecosphere through climate change, soil degradation, water conflicts, and species extinctions. The course provides also a ""paper option"": students enrolling in a third credit hour through Independent Research (LAW 924) can, upon satisfactory completion of a research project related to the subject-matter of this course, satisfy the upper-class scholarly-writing requirement."
"Sixth Semester in Washington D.C. Field Placement","LAW 825","LAW - Law","This field placement will be worth three, six, or nine credit hours. Students will work in a public policy or public interest placement, earning one credit hour foreach 42.5 hours of work. Students will also be required to complete written work. This written work is comprised of a goal-setting memo, weekly journal entries, and a final reflection paper. Students are also required to participate in monthly full-day programming sessions. These programming sessions will include meetings with practitioners to learn about practice in D.C. and substantive areas of law that are commonly practiced there. There will be no co- or prerequisites for this field placement. Finally, students are expected to take advantage of a mentoring program and planned opportunities to meet KU Law alumni set up by the KU Law School."
"Property","LAW 826","LAW - Law","An introduction to personal property law and to real property law, which includes adverse possession, estates in land, cotenancies, landlord-tenant law, easements, and real covenants, and which may include other private and public land use controls, eminent domain, and conveyancing.  Required course."
"International Law and Literature","LAW 827","LAW - Law","This course covers both law ""as"" literature and law ""in"" literature, plus legal rhetoric. In Part One, treaties are studied as a form of literature using literary criticism methods, comparing and contrasting those methods with standard legal interpretation tools. In Part Two, classic works of fiction and poetry, such as those by William Shakespeare (England), Albert Camus (France), E.M. Forster (England), Seamus Heaney (Ireland), Franz Kafka (Czechoslovakia), and Rabindranath Tagore (India), are read closely to spot enduring legal themes common across all countries, including justice and morality, obedience and rebellion, wealth and poverty, and fairness and prejudice. In Part Three, renowned historical speeches are analyzed to see how they manifest Aristotle's five principles of Rhetoric, with illustrations from Winston Churchill (England), John F. Kennedy (United States), and Martin Luther King (United States)."
"Deals","LAW 828","LAW - Law","This simulation and professional writing course will serve as an optional lab component for students who are concurrently enrolled inLAW 947Mergers and Acquisitions, or have previously completed it.  This course introduces students to the ethical, structural and technical aspects of negotiating and drafting the documents that bring a business transaction to life.  By following a complex business transaction from start to finish, students will gain experience grappling with the type of tasks and issues common to a deals practice in a way that bridges the gap between law school and practice.  The course will also help students prioritize their clients' business objectives and understand how deal lawyers create value, manage risk, and work toward optimal outcomes for their clients.  The course will be co-taught by law school faculty and experience transactional attorneys.   Prerequisite:LAW 892,LAW 869, andLAW 947.LAW 947concurrent enrollment allowed."
"International Business Law Drafting","LAW 829","LAW - Law","This one-credit-hour course focuses primarily on the preparation of operational documents relating to international business transactions - for example, transnational sales contracts, letters of credit, explanatory memoranda to business clients planning cross-border transactions, international joint venture agreements, etc. - rather than on the drafting of documents that are litigation-oriented or academic in character. The course is available to students who are (or have) enrolled in the International Commerce and Investment course and who wish to engage in an intense set of ""companion"" legal-drafting exercises.  Prerequisite:LAW 945."
"Torts I","LAW 831","LAW - Law","Fall semester.  Development of liability based upon fault.  Intentional torts, including battery, assault, false imprisonment, intentional infliction of mental distress, trespass to land and chattels, conversion, and privileges.  Negligence, including standard of care, causation, limitation of duty, defenses, and comparative negligence.  Survival and wrongful death.  Strict liability.  Damages.  Required course."
"Advanced Legal Aid Clinic","LAW 833","LAW - Law","Students who have completed a first semester in the Legal Aid Clinic are eligible to apply for enrollment in a second semester as an Advanced Legal Intern.  Advanced Legal Interns will continue to represent clients in the Clinic's case work as they did during the first semester; however, they will only be required to commit 10.5-12 hours per week to Clinic work.  They will be expected to exercise greater independence and professional role assumption and will mentor newer Clinic students in skills development.  Advanced Legal Interns will continue to engage in reflective writing and supervision sessions with faculty; they also will meet as a group with professors for a classroom component featuring a seminar focused on case rounds and advanced litigation skills.  Prerequisite:LAW 952."
"Due Diligence in Business Transactions","LAW 835","LAW - Law","This simulation course will expose students to the due diligence process that is critical to every business transaction. It offers students a realistic due diligence setting, in which they will: learn the fundamental scope and goals of the process, including the various types of information that must be obtained and reviewed; identify the typical issues that must be analyzed; practice using a framework for systematically accumulating information; and understand how that information may affect the structure of the transaction and the content of the agreement that memorializes it. Taught by law school faculty and experienced transactional attorneys.  Prerequisite:LAW 892,LAW 869, andLAW 947. Concurrent enrollment allowed forLAW 947."
"Representing Nonprofit Organizations","LAW 836","LAW - Law","Following a nonprofit and tax-exempt organization law refresher and overview, the course focuses on application of the fundamental exemption requirements; charitable and other categories of exempt organizations; the application for recognition of exemption process; private inurement, private benefit, and intermediate sanctions; governance policies and procedures; public charities and private foundations; lobbying and political campaign activity; the unrelated business rules; use of subsidiaries; exempt organizations' involvement in joint ventures; annual reporting to the IRS; and charitable giving and fundraising law.  Teaching emphasis will be on case hypotheticals."
"Criminal Practice in Kansas","LAW 838","LAW - Law","Designed for the student who plans to practice criminal law in Kansas.  Examines the Kansas criminal code and case law, explores practical and ethical issues from the perspective of the prosecutor and defense counsel, and develops practical skills in pre- and post-trial proceedings.  Includes filing of the complaint, bail, preliminary hearing, pretrial proceedings, motions practice, plea negotiations, client counseling, trial proceedings, jury instructions, post-trial motions, sentencing and appeals."
"Kansas Supreme Court Research Practicum","LAW 840","LAW - Law","This practicum serves the dual goals of providing students with practical research experience and assisting the Kansas Supreme Court by providing needed research support.  Students are assigned research projects from the Kansas Supreme Court and the Office of Judicial Administration as arranged by the instructors.  Students employ a variety of methodologies to conduct thorough research and concisely convey their findings to the Kansas Supreme Court, culminating with a presentation to the court at the end of the semester."
"The Law of War:  History, Principles, and Practice","LAW 843","LAW - Law","This course will explore the development of legal ideas about the legal regulation of armed conflict, with special attention given to the role and treatment of civilians and other non-combatants.  It will not cover American military justice under the Uniform Code of Military Justice nor will it cover internal discipline of military forces.  Among the subjects covered will be the history of attempts to legally regulate armed conflict, the law of war at sea, in the air, and in space, treatment of civilians by combatants, treatment of property, particularly significant cultural property by combatants, and non-military combatants, including pirates and terrorists."
"Advanced Project for Innocence and Post Conviction Remedies","LAW 844","LAW - Law","Advanced Project for Innocence and Post Conviction Remedies:  Students who have completed the Project for Innocence and Post Conviction Remedies may be selected to enroll in as Student Director. Student Directors are assigned to work with one of more incoming student teams to assist with case assignments. Depending upon the credit hours enrolled, Student Directors may be assigned as a team member to participate in substantive client work, andif 715eligible, conduct hearings. In other cases the Student Director will serve in a more advisory capacity. Student Directors will conduct client intake and review. Student Directors will be required to committo 42.4 hours of work per credit hour enrolled, and will continue to engage in reflective writing and supervision sessions with faculty. They will meet as a group with faculty for a seminar focused on intake and advanced issue spotting skills.  Prerequisite:LAW 895."
"Jurisdiction","LAW 845","LAW - Law","This course deals with issues relating to a court's power to adjudicate claims. Topics covered may include jurisdiction over persons or property, justiciability, subject matter jurisdiction, removal, venue, determining the applicable law, and joinder of parties.  Prerequisite:LAW 804."
"Sixth Semester Capstone","LAW 846","LAW - Law","This course is part of the Sixth Semester in Washington, DC Program. It contains in-depth lectures, readings, and discussions on several areas of substantive law and surrounding issues important to practice in Washington, DC, including recent developments, policy implications, and controversies."
"Healthcare Regulation","LAW 847","LAW - Law","This course examines in depth the key areas of state and federal regulation of health care providers, practitioners, and systems in the United States. It will also explore the application of the regulatory regime to a variety of provider affiliation structures that are commonplace in today's health sector. The students will examine applicable statutes, implementing regulations, sub-regulatory agency guidance, and case law as the bases for regulation. Students will come away with a solid foundation in health care regulatory requirements. WhileLAW 920is helpful, it is not a prerequisite for this course."
"Writing for Law Practice","LAW 848","LAW - Law","This course provides an opportunity for upper-level students to practice legal writing skills. It focuses on writing for law practice. Students will draft and revise several documents; engage in editing, workshopping and peer critique; and receive intensive feedback from the instructor. By the end of the course, students will have the beginnings of a document portfolio to take with them into their first years of law practice.  Prerequisite:LAW 820andLAW 821."
"Cybercrimes","LAW 849","LAW - Law","Cyber threats are a global problem challenging all areas of business. Attorneys must be able to advise and defend clients from these threats. Similarly, all criminal lawyers must be fluent in how new technologies work and how they impact investigations. In this course, students will learn how these new cyber threats and emerging technologies are challenging attorneys across the country, no matter which area of law they focus upon. The course will prepare students to think about these threats-not as consumers or users of these exciting new technologies-but as lawyers confronting the impact of these new devices or services. Course topics will include computer hacking, spear phishing, Internet fraud and social engineering, cyberstalking, and the rising use of computers, mobile devices, and social media in violent crimes. This course will cover methods of investigation of computer crimes, such as the Stored Communications Act (Grand Jury subpoenas, court orders, search warrants), the Pen Register Statute and Wiretap Act (real-time collection of information), as well as current litigation topics like encryption, non-disclosure orders, and privacy. We will also cover the important new Supreme Court cases in this area, Riley v. California and Carpenter v. United States."
"Administrative Law","LAW 850","LAW - Law","The separation and delegation of powers.  The development of administrative function.  Administrative discretion, notice, hearing, jurisdiction, conclusiveness of determination, and judicial control.  Examination of current problems in various administrative processes."
"Criminal Procedure: Adjudication","LAW 852","LAW - Law","Covers federal constitutional provisions that apply to criminal prosecutions in the United States. Course coverage also includes some state and federal criminal procedure rules and statutes, which both codify and supplement constitutional provisions. The course moves from the initiation of the criminal prosecution through sentencing and post-conviction processes. Some of the topics covered in this class are covered on the bar exam. Criminal Procedure: Investigation is not a prerequisite for this course."
"Taxation of Business Enterprises","LAW 855","LAW - Law","A study of the effect of the federal income tax on corporations, partnerships, and limited liability companies, as well as their owners.  Includes coverage of federal income tax provisions having especially important effects on business activities in general.  Prerequisite:LAW 892andLAW 913."
"Advanced Legal Research","LAW 856","LAW - Law","Spring semester.  Evaluates important legal research tools and techniques not covered in the required first year Lawyering course.  Provides an in-depth look at Kansas materials, legal reference books, form books, and computer-assisted research.  Research aids in selected subject areas will also be examined."
"Advanced Litigation","LAW 857","LAW - Law","This professional skills course builds on the foundational trial skills taught in Trial Advocacy.  Through repeated trial performance in a realistic courtroom setting, students will master trial skills such as case analysis and planning, applied legal storytelling, witness examination, and application of the rules of evidence.  Special topics may include admitting contemporary forms of evidence and using technology in the courtroom.    Prerequisite:LAW 908andLAW 992."
"Deposition Skills Workshop","LAW 859","LAW - Law","This professional skills course will expose students to substantive and procedural law, as well as the ethical rules, pertaining to depositions.  It provides students a realistic deposition setting in which they will learn to conduct and defend a series of depositions in a simulated environment under the direction of experienced attorneys who serve as the workshop faculty.  This course is a four-day intensive with self-study before and after. Students should plan to complete a schedule of self-study and preparation for at least two weeks before the Workshop begins; to attend the in-person Workshop from approximately 9 a.m.to 6p.m. Sunday through Wednesday, and to complete some reflective work after the Workshop concludes.  Prerequisite:LAW 908."
"Alternative Dispute Resolution","LAW 860","LAW - Law","This course introduces the student to arbitration, mediation, negotiation, and other methods for resolving disputes.  In addition to serving as alternatives to the court system, these processes also play an increasingly important role in litigation and settlement.  This is a survey course, which may include exercises to develop skills such as interviewing, counseling, and negotiation."
"Curricular Practical Training","LAW 861","LAW - Law","This course allows international students to earn academic credit for independent study with a supervising faculty member that is related to legal work performed by the student in the course of paid employment with a private employer, governmental agency, non-profit legal services organization, foreign or international organization or other employment related to the student's law degree. Students will complete readings and reflective writing assignments under supervision of a faculty member that are related to the subject matter of their employment. Students may enroll for more than one semester with permission of the Associate Dean for International and Comparative Law Programs, provided that no student may count morethan 6hours of Curricular Practical Training credit toward the credit required for graduation."
"American Legal History","LAW 862","LAW - Law","An introductory survey of the history of American Law and American legal institutions."
"Antitrust Law","LAW 863","LAW - Law","Covers the Sherman Antitrust Act and related federal legislation designed to control the competitive practices and structure of American industries.  Examines the law of monopolization, price fixing, group boycotts, vertical restraints such as tie-ins and distribution restrictions, and mergers.  Some elementary principles of economic analysis are employed but economics is not a prerequisite."
"Advanced International Trade Law","LAW 864","LAW - Law","Examines enduring and contemporary issues in international trade practice and policy. Among the practical topics covered in detail are: (1) antidumping and countervailing duties against dumping and unfair subsidies, respectively; (2) safeguard actions against fair foreign competition; (3) unilateral trade retaliation under Section 301 and the Sino-American Trade War; and (4) currency manipulation.   Among the policy topics emphasized, from both ""our"" and ""their"" perspective, are: (1) trade relations with developing, least developed, and Muslim countries; (2) complex interactions among trade, human rights, labor rights, and the environment; and (3) efforts to protect local culture in an ear of globalization.  This course is designed not only for students intending to work in international trade law, but also for students interested in careers anywhere in the world in other fields of, or relating to, international law who seek an appreciation of the increasingly sophisticated connections among these fields and trade."
"Business Planning Seminar","LAW 868","LAW - Law","A problem approach to planning important business transactions, such as organization of a close corporation; organization of a public company; dividend and other corporate distributions; corporate liquidations; and corporate combinations such as merger and consolidation.  Each problem is analyzed from the perspectives of tax, securities regulation, and corporate law. Prerequisite:LAW 892,LAW 913, andLAW 855."
"Contract Drafting","LAW 869","LAW - Law","An intensive skills course designed to teach the principles of contemporary commercial drafting, including how to translate a business deal into contract concepts; draft each of a contract's parts; draft with clarity and without ambiguity; add value to a deal; work through the drafting process; and review and comment on a contract. Weekly written homework is required. Prerequisite: Business Organizations recommended but not required."
"Biolaw","LAW 870","LAW - Law","This course examines the law of biology and the biology of law.   Topics covered will include law and evolution, law and genetics, law and neuroscience, law and ecology, climate change law, biodiversity law, law and biotechnology, reproductive law, behavioral law and economics, and law and deextinction."
"Capital Punishment","LAW 871","LAW - Law","This course will examine capital punishment as a system of law and will address many of the intertwining questions raised by the existence of the death penalty in America:  How, as a statutory and procedural matter, is the death penalty implemented in America?  What procedures are unique to the imposition of death as a punishment?  Why are those procedures used, and to what extent are they either adequate or inadequate?  What are the arguments for and against the death penalty and how persuasive are they?  Do we, as lawyers and as individuals, accept capital punishment as a working legal system."
"Arbitration","LAW 872","LAW - Law","This survey of arbitration law and practice considers major types of arbitration in the United States such as commercial (including securities and trade associations), labor, employment, consumer, insurance, medical, and religious as well as important types of international arbitration, such as commercial, maritime, investment, and sports."
"Commercial Law:  Secured Transactions","LAW 873","LAW - Law","Introduction to debtor-creditor law, particularly secured transactions under the Uniform Commercial Code and the Bankruptcy Code."
"Feminist Jurisprudence","LAW 876","LAW - Law","This seminar examines the role of law in perpetuating and remedying inequities against women. After studying the historical emergence of sexual equality law in the United States, we discuss several paradigmatic feminist legal theories, including formal equality, MacKinnon's ""dominance"" theory, relational/cultural feminism, intersectionality and queer theory. We then proceed to apply these analytical structures to various substantive areas of law of particular concern to women, including but not limited to pregnancy, sexual assault, domestic violence, and employment discrimination."
"Corporate Governance","LAW 877","LAW - Law","This course will engage major debates and key issues in corporate governance, the challenges for designing an optimal system for governing corporations, and the increasingly important role of lawyers in these decisions. Topics for study include the history of corporate governance; the role and responsibility of the board of directors in, among other matters, evaluating and insuring effective corporate compliance, risk monitoring, litigation and crisis management; and corporate social responsibility. Substantial comparative content will be included.  Prerequisite:LAW 892."
"Criminal Procedure: Investigation","LAW 878","LAW - Law","Through the Fourth, Fifth, and Sixth Amendments, this course provides an in-depth examination of the balance of individual rights with law enforcement interests in investigating alleged criminal conduct. Utilizing landmark Supreme Court cases, students study Fourth Amendment law on search and seizure, probable cause, warrants, exceptions to the warrant requirement, and the exclusionary rule. The course also analyzes the legal framework surrounding confessions and self-incrimination as provided in the Fifth and Sixth Amendments. All topics covered in the course are topics assessed on the bar exam."
"Comparative Law","LAW 879","LAW - Law","A general introduction to and comparison of major legal systems of the world, with special emphasis given to how those systems reflect differing cultural values in addressing common legal questions.  A major goal of the course is to deepen the students' understanding of law and practice in the United States and to broaden their perspective of law beyond the boundaries of the common law systems."
"Conflict of Laws","LAW 881","LAW - Law","An analysis and consideration of problems respecting the law applicable in transactions or to relationships with elements in more than one state or country.  The law to be applied in such situations, the theoretical bases of choice-of-law, and the issues which these matters can present under the Constitution of the United States are discussed.  Far-reaching changes are occurring in basic assumptions and methods of approach in the field of choice-of-law, and special attention is given to these developments.  Finally, the class considers the recognition and enforcement of foreign state judgments in terms of both standards and requirements that flow from relevant provisions of the Constitution."
"Consumer Law","LAW 882","LAW - Law","This course will examine federal and state law governing the formation, terms, and enforcement of consumer contracts.  Topics covered will include deception and information in contract formation; regulation of consumer credit, goods, and services; creditors' collection tactics; and consumer remedies."
"Privacy Law","LAW 885","LAW - Law","This course tracks the origins and development of privacy in American law through the examination and analyses of constitutional law, tort law, and some statutory law.  We will consider the social impact of emerging technology and social media."
"Civil Rights Actions","LAW 886","LAW - Law","A survey of the law governing civil suits against government entities and officials to remedy violations of federal constitutional rights.  The focus of the class is litigation under 42 U.S.C. section 1983, which creates a civil cause of action for damages and injunctive relief to remedy violations of federal constitutional rights. This area of law is sometimes referred to as ""constitutional torts, "" because it involves civil litigation that is in many ways similar to traditional tort actions.  The course covers the elements of a Section 1983 action, the constitutional immunity of states and state officers, defenses to Section 1983 liability, defendants' liability for attorneys fees under 42 U.S.C. section 1988, civil suits against federal defendants, and the relationship between Section 1983 and federal habeas corpus."
"Copyright Law in a Digital Age","LAW 888","LAW - Law","Explores the major copyright issues that arise as Congress and the courts attempt to adapt the law to an increasingly complex technological environment.  We will examine problems posed by such categories of digital works as software, databases containing factual and other public domain content, multi-media materials, computer generated or assisted works, and digital music."
"Bankruptcy","LAW 889","LAW - Law","This survey of bankruptcy and debtor-creditor law covers topics such as:  Chapters 7, 11,and 13of the Bankruptcy Code and enforcement of money judgments outside of bankruptcy.  Prerequisite:LAW 892andLAW 873."
"Criminal Prosecution Field Placement Program","LAW 890","LAW - Law","Students in the Criminal Prosecution Field Placement gain courtroom experience working side by side with prosecutors in federal, state, and local offices in virtually all phases of the criminal justice process. In addition to appearing regularly in court on behalf of the prosecution, interns work closely with law enforcement agencies in developing cases, preparing trial court documents, and drafting appellate briefs.  Students may earn between 3and 6credit hours during a semester, including the summer semester. (A student mayearn 9credit hours total, in the Criminal Prosecution Field Placement Program.)  Prerequisite:LAW 908and Qualification under KansasRule 715for legal intern permit or another state's equivalent intern permit."
"Elections and Campaign Finance","LAW 891","LAW - Law","This course will consider the process of elections, campaign finance, and voting at both the state and federal levels.  Topics addressed will include the role of political parties, voter and candidate eligibility, design of electoral districts, the mechanics of voting and vote counting, federal and state campaign regulation, and challenges to election results."
"Business Organizations","LAW 892","LAW - Law","This introductory business law course covers topics including the law of agency, the formation, ownership, and management of partnerships, limited liability entities, and corporations, and the roles of federal law, state law, and contract in regulating the relationships among the various participants in a business venture, including fiduciary duties and enforcement mechanisms.  Special attention will be paid to closely held business associations."
"Field Placement Program","LAW 894","LAW - Law","Allows students to earn academic credit for performing legal work under the supervision of a practicing attorney at approved governmental agencies, non-profit legal services organizations, and non-profit international organizations.  Students will work a specified number of hours per week, complete a goals memo, maintain weekly journals of their experience, and write a reflective paper.  Students may enroll for more than one semester with permission of the Director, provided that no student may count morethan 6hours of Field Placement Program credit toward the credit required for graduation. No student may enroll in the Field Placement Program in a placement in which the student was formerly an employee, is currently an employee, or has an offer of employment.  No student may enroll in Field Placement Program in a field placement for which there is an existing specialized Law School clinic or externship program without the prior permission of both the director of the affected specialized Law School clinic or externship program and the director of the Field Placement Program.  Graded on a credit/no credit basis."
"Project for Innocence and Post-Conviction Remedies","LAW 895","LAW - Law","Provide assistance to the inmates incarcerated at the federal and state facilities in Kansas.  Representation includes direct appeals, post-conviction and DNA litigation.  Students interview clients, conduct fact investigation, determine the scope of representation and write court briefs.  Students who satisfy Kansas Supreme CourtRule 715may participate in court hearings.  Students must enroll for the academic year,for 3credits per semester.  Concurrent enrollment inLAW 896is required.  Prerequisite:  Corequisite:LAW 878."
"Project for Innocence and Post-Conviction Remedies Class","LAW 896","LAW - Law","Designed to acquaint students with the issues surrounding the professional skills, substance, and ethics that are critical to student participation inLAW 895, Project for Innocence and Post-Conviction Remedies.  A corequisite withLAW 895and enrollment is limited to students concurrently enrolled in that course."
