"department","code","title","description","credits"
"Linguistics (LING)","LING 397","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be taught in one year or semester.","1-9 Credits/Maximum of 9"
"Linguistics (LING)","LING 399","Foreign Studies","Courses offered in foreign countries by individual or group instruction.","1-12 Credits/Maximum of 12"
"Linguistics (LING)","LING 402","Syntax I","Principles of grammatical analysis in the generative framework; an overview of syntactic structures across languages.LING 402Syntax I (3)(BA) This course meets the Bachelor of Arts degree requirements. The aim of this course is to provide students with the background needed to understand advances in modern generative syntactic theory and to encourage them to do creative and informed research in this area on English or other languages that they might know. The course provides a historical overview of the development of generative syntax. We explore in depth a number of topics that challenge any syntactic theory and we attempt to propose testable hypotheses concerning language structure.","3 Credits"
"Linguistics (LING)","LING 404","Phonology I","LING 404Phonology I (3)(BA) This course meets the Bachelor of Arts degree requirements. This course is about sound patterning in language. In particular, we will learn how human speech sounds are produced and how they function together as a system. We will learn the International Phonetic Alphabet applied to English. We will discuss phonological data from many different languages to seek common phonological processes that occur despite the apparent surface diversity of languages. We will do extensive work on phonological problems in order to master basic phonological analysis.","3 Credits"
"Linguistics (LING)","LING 405","Introduction to Historical Linguistics","Introduction to Historical Linguistics is designed to teach the theories, methods, and data linguists used to study ancient and modern languages and language families, and the connections that can be traced through language between seemingly diverse peoples and cultures. This course will teach the methodologies used by historical linguists to seek to understand language change, and to reconstruct ancient language forms. These methodologies require students to already have a basic understanding of linguistics, in particular phonetics, phonology, morphology, syntax and semantics, as the course teaches students how to use methodologies within those subfields to investigate historical phenomena. The course will also investigate how linguistic analysis can be used to inform the study of human history. Topics include how languages change and evolve over time; language families, language change due to language contact, and the connection between language, history and archaeology. Students will thus also learn what language can teach us about the history of people groups around the world.","3 Credits"
"Linguistics (LING)","LING 410","Morphology","Morphology is the scientific study of words and word structure. This course provides a detailed exploration of morphological processes from a largely comparative method. Students are also introduced various formal models that will guide our investigations. Throughout the course we will scaffold our knowledge of morphological structure and processes with the aid of these theoretical concepts.","3 Credits"
"Linguistics (LING)","LING 414","Phonetic Analysis: Acoustic and Auditory Phonetics","This course is an exploration of phonetic analysis with a focus on acoustic and auditory phonetics (the properties of sound waves, particularly speech sounds, and how hearers perceive sounds given the constraints of the human auditory system). We will focus on how acoustic and auditory phonetics can enhance our understanding of sounds in languages around the world, and how it can inform analytical methods such as those used in sociolinguistics, linguistic field methods, and laboratory-based research involving sounds. This course will include training in specialized acoustic analysis software.","3 Credits"
"Linguistics (LING)","LING 429","Language and Thought","Relations between language and cognition; cognitive implications of normal and impaired language development; cognition and bilingualism.  LING (PSYCH 426) 429 Language and Thought (3)(BA) This course meets the Bachelor of Arts degree requirements. Is language a special and uniquely human ability that develops and functions independently of other cognitive processes? Do individuals who speak different languages also have different concepts about the meaning of objects and ideas? Does language development depend on exposure to spoken language? In this course we will examine the relation between language and thought by considering evidence on language and cognition in both children and adults. Topics to be covered include the typical development and use of language as well as language and cognition in individuals whose language and/or cognition is impaired in some form. The latter include individuals with aphasia who have sustained brain damage following stroke or head injury, schizophrenics whose language reflects aspects of their disorder, children diagnosed with Williams Syndrome who appear to have good or even precocious language abilities in the face of severe cognitive impairment, and Alzheimer's patients in whom semantic memory has begun to deteriorate. The course will also discuss the acquisition of sign language among deaf individuals and the consequences of bilingualism for children raised with two languages and for adults with proficiency in more than a single language.The purpose of this course is to provide a survey of current scholarship on the relation of language and thought, including a review of recent developments in the primary literature. The necessary background is covered in introductory Psychology and Linguistics courses, which serve as alternative prerequisites. Students will learn about the consequences of typical and impaired development for relations between cognition and language ability. It is distinguished fromPSYCH 457, Psychology of Language, by a focus on the implications of language, language development, and language impairment, for cognitive processes. It covers some topics also addressed by current courses in Linguistics and in Communications Sciences and Disorders, but is distinguished from those courses by its focus on perspectives and theories from cognitive psychology. This course may be used toward the 400-level PSY requirements of the PSYBA and PSYBS majors, and toward the PSY minor. Students typically will be assessed on the basis of class participation and discussion (20%), four papers (total 60%), and an in-class presentation based on reading original research literature (20%). The course typically will be offered once each year at the University Park campus with an enrollment limit of 50.","3 Credits"
"Linguistics (LING)","LING 446","L1 Acquisition","How children learn their first language; psycholinguistic aspects of lexical, syntactic, semantic, and phonological development.LING 446(PSYCH 427) L1 Acquisition (3) (BA) This course meets the Bachelor of Arts degree requirements.This course focuses on how children learn their first language from the theoretical perspectives of imitation theories, social construction theories, and innateness theories. In addition, the course covers the various stages of language acquisition including phonological (sound system), morphological (word meaning), syntactical (grammar) and semantic (meaning) development from birth to adulthood. Other related subfields covered in the course include the acquisition of Pidgin and Creole languages, bilingual and multilingual acquisition, and language acquisition and linguistic change.","3 Credits"
"Linguistics (LING)","LING 447","Bilingualism","Explores the social and psychological aspects of bilingualism; topics include languages in contact, transference, maintenance, and loss.LING 447Bilingualism (3)(BA) This course meets the Bachelor of Arts degree requirements. This course presents a panoramic view of the major questions, research methods and results in bilingualism research. We will cover the following topics, in addition to those topics that emerge from students' research: bilingualism in society; political and social results of language contact; effects of social attitudes on bilinguals; how bilingualism affect language: transfer, code-switch, language contact and language change; the bilingual brain, psycholinguistic effects of having two grammars in sentence production, phonological perception and lexical storage; childhood bilingualism; developmental and educational consequences of bilingualism.","3 Credits"
"Linguistics (LING)","LING 448","Sociolinguistics","Issues in the study of language in its sociocultural context; analysis of social dialects and speech styles.LING 448Sociolinguistics (3)(BA) This course meets the Bachelor of Arts degree requirements. This course investigates sociolinguistics variation and linguistic change. We will be concerned with identifying the mechanisms by which changes come about and are transmitted within a linguistic system. The course contrasts traditional studies of change and variation which concentrate on linguistic internal factors to those that are based on sociolinguistic factors. Research from a wide variety of languages and cultures will be examined.","3 Credits"
"Linguistics (LING)","LING 449","Semantics I","LING 449Semantics I (3)(BA) This course meets the Bachelor of Arts degree requirements. This course examines our best understanding of how humans produce and understand utterances to have particular meanings. This course examines lexical semantics, which is concerned with word meaning, phrasal semantics, which examines phrase meanings and with pragmatics, the study of meaning in contexts. Because meanings cannot always be built up or deduced from the combined meaning of smaller elements, students will attempt to divulge the semantic principles at work in human language through a wide variety of problems, activities, and formal analyses.","3 Credits"
"Linguistics (LING)","LING 457","Psychology of Language","Overview of psychological research and theory on language processes, including speech perception, word recognition, meaning representation, comprehension, and language acquisition.  LING (PSYCH) 457 Psychology of Language (3)(BA) This course meets the Bachelor of Arts degree requirements. How do we process language? Why do we easily adjust to a speaker with a foreign accent? How do young children come to speak the language to which they are exposed? Why is it difficult to learn a second language as an adult? This course focuses on the cognitive processes engaged by language use. Topics to be covered include speech perception, word recognition, representation of word meaning, comprehension of sentences, spoken production of words and sentences, and first and second language acquisition. In addition, the role of language in the study of thought and the role of biological mechanisms in theories of language learning will be discussed, as well as ways in which research on the language of special populations (e.g., deaf signers, dyslexics, aphasics) can inform theories of language processing and representation.","3 Credits"
"Linguistics (LING)","LING 493","Field Methods","In this course, students work directly (in groups) with a native speaker of a foreign language with which no one in the class has any prior familiarity. The students will work to uncover the set of sounds relevant to the language in question by winnowing down possible sound contrasts made in human languages. They will begin to construct a lexicon (vocabulary) built with a phonetic alphabet to discover how words and sentences are formed in the language. They will refine their techniques of questioning their research participant based on principles of linguistic field work.","3 Credits"
"Linguistics (LING)","LING 494","Research Project","Supervised student activities on research projects identified on an individual or small-group basis.","1-12 Credits/Maximum of 12"
"Linguistics (LING)","LING 494H","Research Project","Supervised student activities on research projects identified on an individual or small-group basis.","1-12 Credits/Maximum of 12"
"Linguistics (LING)","LING 496","Independent Studies","Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.","1-18 Credits/Maximum of 18"
"Linguistics (LING)","LING 497","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be taught in one year or semester.","1-9 Credits/Maximum of 9"
"Linguistics (LING)","LING 499","Foreign Studies","Courses offered in foreign countries by individual or group instruction.","1-12 Credits/Maximum of 12"
"Management (MGMT)","MGMT 100","Survey of Management","Introduction to organizational factors relevant to management processes, including leadership, motivation, job design, technology, organizational design and environments, systems, change. May not be used to satisfy Penn State Business baccalaureate degree requirements.  Not available to students who have taken B A 304 orMGMT 301.","3 Credits"
"Management (MGMT)","MGMT 100W","Survey of Management","Introduction to organizational factors relevant to management processes, including leadership, motivation, job design, technology, organizational design and environments, systems, change.  May not be used to satisfy Penn State Business baccalaureate degree requirements. Not available to students who have taken B A 304 orMGMT 301.","3 Credits"
"Management (MGMT)","MGMT 197","Special Topics","Formal courses given infrequently to explore, in-depth, a comparatively narrow subject which may be topical or of special interest.","1-9 Credits/Maximum of 9"
"Management (MGMT)","MGMT 199","Foreign Studies","Courses offered in foreign countries by individual or group instruction.","1-12 Credits/Maximum of 12"
"Management (MGMT)","MGMT 215","Entrepreneurial Mindset","This course provides the opportunity to learn to think like an entrepreneur in the broader context of social entrepreneurship, intrapreneurship, creative problem solving, opportunity recognition, and innovation.MGMT 215Entrepreneurial Mindset (3) An entrepreneurial mindset can be applied to different situations such as social entrepreneurship, intrapreneurship, creative problem solving, opportunity recognition, technology management, innovation and career development, etc. The skills and attributes of an entrepreneurial mindset can be used to expand career options and career paths for students in any major. Students will develop self-efficacy, leadership, recognition of new opportunities, resourcefulness, creativity and comfort with ambiguity. Further, this course will help students develop an appreciation for mistakes and failure as valuable learning opportunities. Through experiential exercises and problem based learning the student will be afforded the opportunity to study, apply and absorb an entrepreneurial mindset as an approach to viewing the world, to recognizing opportunities and to developing novel solutions. After taking this course the student, regardless of a student's major or college, will have a greater understanding of how to apply entrepreneurial thinking to problems and adopt entrepreneurial solutions to those problems to transform them from problems into opportunities.","3 Credits"
"Management (MGMT)","MGMT 296","Independent Studies","Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.","1-18 Credits/Maximum of 18"
"Management (MGMT)","MGMT 296H","Independent Studies","Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.","1-18 Credits/Maximum of 18"
"Management (MGMT)","MGMT 297","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.","1-9 Credits/Maximum of 9"
"Management (MGMT)","MGMT 299","Foreign Studies","Courses offered in foreign countries by individual or group instruction.","1-12 Credits/Maximum of 12"
"Management (MGMT)","MGMT 301","Basic Management Concepts","MGMT 301exposes undergraduate students to the fundamental principles and basic concepts of management, with emphasis on organizational design, management processes, leadership, motivation, and managing teams and individuals in a global business environment. Understanding these principles and concepts is extremely important for students preparing for and entering the business profession. Managers plan, organize, lead, and control. These functions provide a foundation forMGMT 301and are included in all course topics and modules. Typical modules include: An Overview of Management; Strategy and Structure; Organizational Behavior; and Group/Organizational Dynamics. The overview of management focuses on the manager's role and function, decision making, ethics, and managerial oversight. Topics covered in a strategy and structure module will include culture, environmental influences, strategy, organizational structure, globalization, and innovation. Organizational Behavior focuses on how decision making is influenced by various stakeholders who have formal and informal authority and control in a business. What motivates individuals and who are leaders in an organization is discussed along with group dynamics. Understanding team processes, conflict, adaptation to change, and various levels of group and one-on-one communication is important and will be covered by reviewing traditional management strategies and structures along with discussions on current and evolving management issues. Students may earn credit towards graduation for only one of the following;BA 304,MGMT 301,MGMT 301H, orMGMT 301W.","3 Credits"
"Management (MGMT)","MGMT 301H","Basic Management Concepts (Honors)","Study of fundamental principles and processes available to the understanding of management. Students will likely spend a major part of their lives working for one or, perhaps, leading one they have started. Although sound technical skills and relevant knowledge are important reasons an organization hires employees, the ability to lead and manage people is critical for future advancement. This course is focused on the social facets of organizations - as opposed to elements such as finance, marketing, operations, etc. A good grasp of how organizations work will help students succeed in their careers. This course provides a forum to critically engage with theories and concepts that attempt to explain organizational practices. It is designed to not only provide students with the basic fundamentals that may be used as tools to become better managers, but also help students question their own assumptions about how people ought to behave and how they actually do behave in organizations. This course, builds on the concepts embedded in a traditional foundation management course by researching the theories these courses are built upon and pointing out the advantages and limitations of these different approaches. The topics covered in this course will provide both the breadth and depth of understanding of various topics including organizational structure, strategy, culture, leadership styles, ethics, and staffing that fall under the domain of Management and Organization. In addition, specific challenges faced by managers in contemporary organizations such as managing teams, globalization, and diversity are also incorporated. These topics are covered using lectures, independent research, case analyses and experiential exercises that will help you develop in-depth domain knowledge as well as managerial skills. In addition, the course will facilitate the development of research and analytic skills through the inclusion of individual presentations of current topics that represent critical issues in organizations. A team project will further enhance knowledge acquisition of specific issues facing organizations and, since teams are prevalent across most organizational settings, also help develop teamwork skills. Students may earn credit towards graduation for only one of the following;BA 304,MGMT 301,MGMT 301H, orMGMT 301W.","3 Credits"
"Management (MGMT)","MGMT 301W","Basic Management Concepts","MGMT 301W, Basic Management Concepts, is a three credit course offered each semester across Penn State.MGMT 301Wexposes undergraduate students to the fundamental principles and basic concepts of management, with emphasis on organizational design, management processes, leadership, motivation, and managing teams and individuals in a global business environment. Understanding these principles and concepts is extremely important for students preparing for and entering the business profession. Managers plan, organize, lead, and control. These functions provide a foundation forMGMT 301Wand are included in all course topics and modules. Typical modules include: An Overview of Management; Strategy and Structure; Organizational Behavior; and Group/Organizational Dynamics. The overview of management focuses on the manager's role and function, decision making, ethics, and managerial oversight. Topics covered in a strategy and structure module will include culture, environmental influences, strategy, organizational structure, globalization, and innovation. Organizational Behavior focuses on how decision making is influenced by various stakeholders who have formal and informal authority and control in a business. What motivates individuals and who are leaders in an organization is discussed along with group dynamics. Understanding team processes, conflict, adaptation to change, and various levels of group and one-on-one communication is important and will be covered by reviewing traditional management strategies and structures along with discussions on current and evolving management issues. Students may earn credit towards graduation for only one of the following;BA 304,MGMT 301,MGMT 301H, orMGMT 301W.","3 Credits"
"Management (MGMT)","MGMT 320","Establishing Workforce Diversity and Inclusion","This course provides students with an understanding of the relevance and importance of diversity within corporate America as well as a review of global business practices. Students will examine marketing, management, and finance topics within the context of issues pertaining to persons of different orientations, gender and ethnic backgrounds. Diversity Workforce and Inclusion looks at topics that directly and indirectly impact employment opportunities, day-to-day work practices, and the civil environment in which individuals deal with as they attempt to establish themselves as successful individuals on equal footing with their colleagues. Course participants will be given the opportunity to examine their own biases and questions surrounding the topics of diversity, inclusion, and leadership in a multicultural environment. Current national and global trends in workplace diversity will be covered along with federal mandates that impact employment, education, and civil matters.","3 Credits"
"Management (MGMT)","MGMT 321","Leadership and Motivation","Applies organizational behavior theories, concepts, and skills to leading and motivating individuals and groups.","3 Credits"
"Management (MGMT)","MGMT 326","Organizational Behavior and Design","Concepts, theories, and methods of managing people and designing organizations.MGMT 326Organizational Behavior and Design (3) This introductory course covers the concepts, theories, and methods of managing people and designing organizations. Issues and challenges of managing at different organizational levels (individual, group, project, and total organization) are discussed and illustrated with real-world examples. Students learn about the latest means of designing high-performing organizations, including how to change an organization. This course will serve as a foundation for taking advanced management courses. The primary method of evaluation is an examination after each of the four major parts of the course, but class participation and short papers may also be used for evaluation.","3 Credits"
"Management (MGMT)","MGMT 331","Management and Organization","Designing organizations to effectively manage new technologies, structures, and people in changing global contexts.","3 Credits"
"Management (MGMT)","MGMT 341","Human Resource Management","Introduction to the strategic planning and implementation of human resource management, including staffing, development, appraisal, and rewards.","3 Credits"
"Management (MGMT)","MGMT 345","Cultural Intelligence in Leadership and Management","Globalization and technology have changed the way organizations interact with internal and external constituents. Leaders must strive to create an environment where individuals adapt in socially responsible ways in order to foster the growth of global citizens. This course explores the realm of cultural intelligence or cultural quotient (CQ) and its importance in developing an inclusive approach to leadership and management. Through an experiential learning approach, students will develop skills that will aid in their ability to appreciate, manage, lead, and work with individuals across a multitude of cultural identities.","3 Credits"
"Management (MGMT)","MGMT 355","Leadership and Change in Organizations","This course focuses on concerns with understanding yourself as a leader in organizations-especially organizations undergoing change.","3 Credits"
"Management (MGMT)","MGMT 365","Social Entrepreneurship","Social entrepreneurship exposes students to the power of solving social problems through market-based solutions. Entrepreneurs, in general, create opportunities through resource integration. Therefore, social entrepreneurs create socially beneficial opportunities through the integration of public and private resources. In this course, students will explore the latest regulatory, legal and macroenvironmental policies and issues related to social entrepreneurship. In contrast to existing entrepreneurship courses, social impact is the primary purpose driving firm creation. Profitability, or value capture is not required, but might provide an innovative business model choice. In order to support the creation and growth of important social opportunities, entrepreneurs should consider different business model innovations beyond financial returns alone might produce. After taking this course, students will be alert to legal and regulatory opportunities, be capable of developing relevant marketing innovations and provide measurement and impact analyses prior to and after implementation of their strategies associated with social entrepreneurship. These learning outcomes will benefit traditional entrepreneurs and social entrepreneurs in developing innovative solutions.","3 Credits"
"Management (MGMT)","MGMT 395","Internship","Supervised off-campus, nongroup instruction including field experiences, practica, or internships. Written and oral critique of activity required.","1-18 Credits/Maximum of 18"
"Management (MGMT)","MGMT 397","Special Topics","Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.","1-9 Credits/Maximum of 9"
"Management (MGMT)","MGMT 399","Foreign Studies","Courses offered in foreign countries by individual or group instruction.","1-12 Credits/Maximum of 12"
"Management (MGMT)","MGMT 400","Organization Development","A study of organizational change and methodologies related with change and improvement.  Examination of planned change on processes, strategies, people and culture in organizations.","3 Credits"
"Management (MGMT)","MGMT 401","Contemporary Issues in Management","Advanced treatment of topics of current managerial significance. Issues examined will differ by instructor, section, and semester. Consult departmental office.","3 Credits"
"Management (MGMT)","MGMT 409","Project Management for Non-business Majors","Project management for non-business majors covers the technical and people skills related to project management within a variety of organizational structures. Students learn the tools and concepts needed to successfully balance schedule, budget, and scope while managing risk and resources during the project life cycle. Leadership and teamwork skills are emphasized and practiced in a hands-on approach throughout the duration of the course.","3 Credits"
"Management (MGMT)","MGMT 410","Project Management","MGMT 410Project Management (3) Project Management has been labeled by Fortune magazine as the number one career choice for the coming decade. Increasingly, organizations are adopting project management techniques and structures within their business framework. Project management offers the twin advantages of allowing organizations to create products and processes efficiently, through optimal use of resources, and rapidly, in order to respond to rapid time-to-market demands. This course would greatly aid business majors, as companies are in great need of a trained cadre of qualified project managers who can allow the business firm to operate to its highest potential.The role of the instructor in this course is to train students in the wide variety of demands and skills for which they must be qualified: the ability to exert leadership in managing project teams, an understanding of people and behavioral skills, and the ability to effectively use computer-based scheduling and tracking software to keep timetables and schedules.The course itself would be set up around semester-long projects, either developed by the instructor, or developed (in collaboration with the instructor) by students involved in business enterprises. As a result, students would have real-time experience in the challenges of creating a unified team, solving problems, tracking their projects, and presenting a final paper and presentation on the process.","3 Credits"
"Management (MGMT)","MGMT 415","Project Portfolio Management and Organizations","An advanced course in project management focusing on portfolio planning and control within the context of specific organizational challenges.MGMT 415Project Portfolio Management and Organizations (3) Project Portfolio Management (PPM) is a strategically-focused course on the management of projects, programs, and portfolios in organizations. The management of individual projects is a complex, multi-level challenge involving myriad issues of planning, organizing, and controlling all project elements. Project portfolio management addresses a more strategic need; namely, the process of project selection in order to develop a balanced portfolio of projects designed to support organizational initiatives. As a result, this course addresses the critical issues of maximizing value in a portfolio, linking projects to organizational strategy, understanding the critical organization effects of structure, environment, and culture on project success, and creating a coherent PPM framework for the firm. Because the focus is more strategic, the role of the instructor in this course is to go beyond the mechanics of planning and controlling a single project to training students how to think strategically where projects and programs are concerned; to recognize their role in creating a PPM plan for an organization, selecting projects for value, rebalancing a project portfolio, and maintaining this focus within the organization.","3 Credits"
"Management (MGMT)","MGMT 418","Project Planning and Resource Management","Advanced course in project management focusing on a more in-depth approach to project planning and scheduling and resource management.MGMT 418Project Planning and Resource Management (3) Project Planning and Resource Management is a more in-depth look at some of the most important aspects of project management; the ability to accurately plan and schedule projects using the latest and most accurate methods. Further, the course addresses resource management within the context of planning, noting the important linkage between these two elements. Accurate planning can be done through a variety of techniques, including CPM, PERT, simulation, linear programming and other optimization methods. Students will learn when each of these methods are most useful, benefits and drawbacks of various planning and resource management techniques, and how to apply these techniques to their projects. In addition, students will learn about different types of project risks, and techniques for analyzing and managing these risks. Because the focus is hand-on and problem-based. The role of the instructor in this course is to demonstrate these analytical techniques through classroom exercises and assignments and software packages, including MS Project, simulation, and Analytic Hierarchical Process (AHP).","3 Credits"
"Management (MGMT)","MGMT 420","Negotiation and Conflict Management","An exploration of the sources of interpersonal conflict and strategies of resolution in the managerial context.","3 Credits"
"Management (MGMT)","MGMT 424","Interpersonal Relationships in Organizations","Developing individual skills in interpersonal and group settings and experience-based and conceptual training in relating effectively to other people.","3 Credits"
"Management (MGMT)","MGMT 425","New Venture Creation","Via problem-based learning, students define new business ventures to meet current market needs, develop business models, and present to various stakeholders. The goal of New Venture Creation is to better prepare undergraduate students to be leaders in adaptive, globally-minded, technology-savvy organizations. The course is structured so students develop skills that are of high value in any workplace: leadership skills, self-efficacy, creativity and the ability to deal with ambiguity. Upon course completion, students will have a working knowledge of traditional and non-traditional ways for identifying a new product or business opportunity, quantifying the potential, understanding the key competitive factors, researching the audience, and producing a convincing plan for financing and launch. Students who want to augment the skills and knowledge from their major with the ability to develop a new product/service/process, will find New Venture Creation a valuable course. This is a novel problem-based learning (PBL) course, where the learning is student-centered, with faculty acting primarily in the role of facilitators. Active/Experiential learning happens in this course because students develop ownership of their venture concepts and are fully responsible for the genesis of ideas.","3 Credits"
"Management (MGMT)","MGMT 426","Invention Commercialization","Working with Penn State inventions selected by the Intellectual Property Office, student teams define an optimum commercialization path each technology.  ENGR 426ENGR (MGMT/IST/ENTR) 426 Invention Commercialization (3) The goal of ENGR (MGMT/IST/ENTR) 426 is to have students understand why invention commercialization is complicated and difficult by participating in the process. For example, the inventor rarely has insights into the markets for his/her invention, is often not interested in the details of commercialization, and can be secretive. In addition, the business and financial communities often do not take the time, or have the resources, to understand new technologies and perform complex due diligence. Thus lack of due diligence often leads to rejection of innovation because existing companies often discount new technologies from outside the company as NIH - 'not invented here'. Effective transfer of new invention or innovation to a commercial product requires at least three different functional communities to interface: technical, legal and business. Each uses a different language, comes from different educational and cultural backgrounds, and may have an inherent distrust of the others. These functional barriers are difficult to overcome.This course teaches how these barriers can be broken down as student teams help bridge the perceived chasm between key players in the invention commercialization process. In these teams, students bring the skills and knowledge from their major to develop an invention commercialization recommendation for the Technology Transfer Office and the inventor. For example, business students focus on finance and market opportunity assessment; engineering and IST students focus on design refinements, prototyping support, and (if appropriate) making technology suggestions to the inventor.Upon completing the course, the students will have a working knowledge of different university and corporate technology or invention commercialization processes, important intellectual property management tools for inventions (patents, license agreements, option agreements) source of funding to move inventions toward product development, and delivering top quality presentations which outline the recommended commercialization path. Students who enjoy open-ended projects which involve the interplay of business and invention of who wants to work on interdisciplinary teams with the newest inventions will find this course a valuable course. NOTE: Because the inventions/products are based on Penn State faculty intellectual property, students must sign the Penn State Special Intellectual Property Agreement For Students - For Use When Assigning Intellectual Property to The Pennsylvania State University. The form can be viewed at http://guru.psu.edu/policies/RAG13.htmlThe course will be offered both Spring and Fall semesters with an enrollment of 40 students.","3 Credits"
"Management (MGMT)","MGMT 427","Managing an Entrepreneurial Start-Up Company","Exploration of the tensions and experiences of starting and growing a new company.MGMT 427Managing an Entrepreneurial Start-Up Company (3)Start-up companies have a high failure rate. Acquiring and balancing limited resources, changing direction quickly, building a coherent team, managing intellectual property, and creating new markets all test a wide range of managerial skills not usually demanded in one person within a larger organization. Whereas a large company has a strong and well-defined structure and ample resources to deal with unexpected challenges, a start-up usually has insufficient resources, or management experience and yet must deal with daily important and often unpredictable forces. It is the tenacity of an entrepreneur that can take a company through the valleys of despair to eventually succeed. Students will be exposed to these tensions and experience through problem-based learning methods what it is like to start and grow a new company. The course will provide students with knowledge and experience to increase the likelihood of success whether as a principal in a small company or an investor representative.","3 Credits"
"Management (MGMT)","MGMT 427W","Managing an Entrepreneurial Start-up","Start-up companies have a high failure rate. Acquiring and balancing limited resources, changing direction quickly, building a coherent team, developing an organization's culture from scratch, managing intellectual property, and creating new markets all test a wide range of managerial skills not usually demanded in one person within a larger organization. Whereas a large company has a strong and well-defined structure and ample resources to deal with unexpected challenges, a start-up usually has insufficient resources and/or management experience, yet it must deal on a daily basis with important and often unpredictable forces. Students will be exposed to these tensions and experience through problem-based learning methods that illustrate what it is like to start and grow a new company. The course will provide students with the knowledge and experience to increase their likelihood of success whether as a principal in a small company or an investor representative. Managing a Startup is a problem-based learning (PBL) course, where the learning is student-centered, with faculty acting primarily in the role of facilitators. Active learning happens in this course because students are engaged in the analysis of the complex situations that underlie startup companies. The course leverages the on-line course management system to define weekly learning objectives, support electronic delivery of assignments and provide robust video content from entrepreneurs, investors and key employees, who provide additional insights into the management decisions and ethical dilemmas the leader of a startup faces. Because the course is structured around the on-line course management system, it could be offered at any Penn State location with very little revision. The particular companies and cases that are the focus of the class are easily adapted by using different case studies, companies and course mentors.","3 Credits"
"Management (MGMT)","MGMT 430","Project Risk Management","Risk management is indispensable for effective project management. The course provides students with proven theories, tools, and best practices in risk management in order to manage a project to its success. From the course, students will recognize that project risks are not surprises and can be effectively managed by conducting analytics and best practices in risk management planning, risk identification, qualitative and quantitative risk analyses, risk response planning, and risk monitoring and control. The course will also emphasize the applications of these concepts to practices. Case studies will be used to help students develop a practical understanding of the best practices in project risk management.","3 Credits"
"Management (MGMT)","MGMT 431","Entrepreneurship and Small Business Management","Entrepreneurship, new ventures, and management of small firms.","3 Credits"
"Management (MGMT)","MGMT 433","Leadership and Team Building","Team-based learning approach to developing conceptual knowledge, skills sets, and personal competencies needed for leading and managing organizations.MGMT 433Leadership and Team Building (3)To lead effectively and to manage others in contemporary work contexts requires mastery not only of conceptual knowledge, but also of the intra- and inter-personal competencies and skills sets that are vital to successful performance in a work environment. This course emphasizes an experiential-based learning approach that is designed to impart skill sets and competencies in areas such as leadership, teambuilding, negotiating, communicating, valuing diversity, managing conflict, and more. The course thus uses assessment exercises, role playing techniques, group problem solving exercises, and other experiential-based learning techniques in order to provide students with a framework for better understanding their own strengths and weaknesses, to enable them to practice, enhance, and to gain confidence in their competencies in these various areas, as well as to enable students to better appreciate when and how to effectively apply these skills sets and competencies in the workplace.","3 Credits"
"Management (MGMT)","MGMT 440","Compensation and Benefits","Students will explore the link between company strategy and compensation practices to understand the core policies necessary to develop effective compensation systems. These core policies include internal alignment, external competitiveness, and employee contribution. Methods for developing internally and externally equitable pay grades and the impact of taxation on employee compensation are also explored. International compensation, executive compensation, and compensating a contingent workforce are also discussed. The course will discuss how to collect and analyze salary data, and it addresses 'pay for performance' to enable students to learn about the concept of performance management and various incentive practices at individual, team, and organizational levels. The course also covers topics in employee benefits including discretionary benefits (e.g., tuition reimbursement) and mandatory benefits (e.g., Family and Medical Leave Act) offered by employers.","3 Credits"
"Management (MGMT)","MGMT 441","Organizational Staffing and Development","This course focuses on the skills and methods managers need to manage staffing and development activities in organizations.MGMT 441HRM Professional Seminar (Part 1): Staffing and Development (3) The purpose of this course is to give students the skills and knowledge they need to contribute to organizational staffing and development activities. Students will learn technical and organizational aspects of making hiring decisions, designing and implementing training programs, and developing career management initiatives. Topics include strategic human resource management, HR planning, the contingency workforce, HR information systems and technologies, job design, recruitment, selection, employment legislation, diversity, training, management development, career planning, and the like. This course is normally taken in the first semester of the senior year. It builds on information introduced inMGMT 341(Human Resources Management) and moves beyond survey-level material to more specialized knowledge and skill. The course is taken concurrently with MGMT 442 (HRM Part One) and is typically taken as a precursor toMGMT 443(HRM Proseminar, Part Two) and 444 (HRM Practicum, Part Two). These courses together constitute the core of the HRM Option for Management majors.","3 Credits"
